,free_node_coor_list,21:46:37,28132
1200,-18,-30,11
1201,-17,-30,11
1202,-18,-29,11
1203,-17,-29,11
1204,-21,-28,9
1205,-21,-27,9
1206,-21,-25,8
1207,-21,-26,9
1208,-21,-25,9
1209,-21,-28,10
1210,-20,-28,8
1211,-19,-28,8
1212,-20,-27,8
1213,-19,-27,8
1214,-20,-28,9
1215,-19,-28,9
1216,-20,-27,9
1217,-19,-27,9
1218,-18,-28,8
1219,-17,-28,8
1220,-18,-27,8
1221,-17,-27,8
1222,-18,-28,9
1223,-17,-28,9
1224,-18,-27,9
1225,-17,-27,9
1226,-20,-26,8
1227,-19,-26,8
1228,-20,-25,8
1229,-19,-25,8
1230,-20,-26,9
1231,-19,-26,9
1232,-20,-25,9
1233,-19,-25,9
1234,-18,-26,8
1235,-17,-26,8
1236,-18,-25,8
1237,-17,-25,8
1238,-18,-26,9
1239,-17,-26,9
1240,-18,-25,9
1241,-17,-25,9
1242,-20,-28,10
1243,-19,-28,10
1244,-20,-27,10
1245,-19,-27,10
1246,-20,-28,11
1247,-19,-28,11
1248,-20,-27,11
1249,-19,-27,11
1250,-18,-28,10
1251,-17,-28,10
1252,-18,-27,10
1253,-17,-27,10
1254,-18,-28,11
1255,-17,-28,11
1256,-18,-27,11
1257,-17,-27,11
1258,-20,-26,10
1259,-19,-26,10
1260,-20,-25,10
1261,-19,-25,10
1262,-20,-26,11
1263,-19,-26,11
1264,-20,-25,11
1265,-19,-25,11
1266,-18,-26,10
1267,-17,-26,10
1268,-18,-25,10
1269,-17,-25,10
1270,-18,-26,11
1271,-17,-26,11
1272,-18,-25,11
1273,-17,-25,11
1274,-21,-31,13
1275,-21,-29,12
1276,-21,-30,13
1277,-21,-29,13
1278,-21,-32,14
1279,-21,-31,14
1280,-21,-30,14
1281,-21,-29,14
1282,-20,-31,12
1283,-19,-31,12
1284,-20,-31,13
1285,-19,-31,13
1286,-18,-31,12
1287,-17,-31,12
1288,-20,-30,12
1289,-19,-30,12
1290,-20,-29,12
1291,-19,-29,12
1292,-20,-30,13
1293,-19,-30,13
1294,-20,-29,13
1295,-19,-29,13
1296,-18,-30,12
1297,-17,-30,12
1298,-18,-29,12
1299,-17,-29,12
1300,-18,-29,13
1301,-20,-31,14
1302,-19,-31,14
1303,-20,-31,15
1304,-19,-31,15
1305,-18,-31,14
1306,-17,-32,15
1307,-18,-31,15
1308,-17,-31,15
1309,-20,-30,14
1310,-19,-30,14
1311,-20,-29,14
1312,-19,-29,14
1313,-20,-30,15
1314,-19,-29,15
1315,-18,-30,14
1316,-18,-29,14
1317,-18,-30,15
1318,-17,-30,15
1319,-17,-29,15
1320,-20,-28,12
1321,-19,-28,12
1322,-20,-27,12
1323,-19,-27,12
1324,-20,-28,13
1325,-19,-28,13
1326,-20,-27,13
1327,-17,-28,12
1328,-18,-27,12
1329,-17,-27,12
1330,-18,-28,13
1331,-18,-27,13
1332,-20,-26,12
1333,-19,-26,12
1334,-20,-25,12
1335,-19,-25,12
1336,-20,-26,13
1337,-19,-25,13
1338,-18,-26,12
1339,-17,-26,12
1340,-18,-25,12
1341,-17,-25,12
1342,-18,-26,13
1343,-20,-28,14
1344,-20,-27,14
1345,-19,-27,14
1346,-19,-28,15
1347,-20,-27,15
1348,-19,-27,15
1349,-18,-28,14
1350,-18,-27,14
1351,-17,-27,14
1352,-17,-28,15
