,start_points,14:36:13,5212
1300,-73,76,29
1301,-73,76,29
1302,-73,76,29
1303,-73,76,29
1304,-71,77,31
1305,-71,77,31
1306,-71,77,31
1307,-71,77,31
1308,-70,76,32
1309,-70,76,32
1310,-70,76,32
1311,-70,76,32
1312,-72,76,29
1313,-72,76,29
1314,-72,76,29
1315,-72,76,29
1316,-74,75,28
1317,-74,75,28
1318,-74,75,28
1319,-74,75,28
1320,-72,77,29
1321,-72,77,29
1322,-72,77,29
1323,-72,77,29
1324,-71,76,29
1325,-71,76,29
1326,-71,76,29
1327,-71,76,29
1328,-71,76,30
1329,-71,76,30
1330,-71,76,30
1331,-71,76,30
1332,-73,75,29
1333,-73,75,29
1334,-73,75,29
1335,-73,75,29
1336,-73,76,28
1337,-73,76,28
1338,-73,76,28
1339,-73,76,28
1340,-74,74,28
1341,-74,74,28
1342,-74,74,28
1343,-74,74,28
1344,-74,72,27
1345,-74,72,27
1346,-74,72,27
1347,-74,72,27
1348,-72,74,31
1349,-72,74,31
1350,-72,74,31
1351,-72,74,31
1352,-73,73,30
1353,-73,73,30
1354,-73,73,30
1355,-73,73,30
1356,-73,75,31
1357,-73,75,31
1358,-73,75,31
1359,-73,75,31
1360,-73,75,31
1361,-73,75,31
1362,-73,75,31
1363,-73,75,31
1364,-74,76,32
1365,-74,76,32
1366,-74,76,32
1367,-74,76,32
1368,-75,77,30
1369,-75,77,30
1370,-75,77,30
1371,-75,77,30
1372,-76,77,29
1373,-76,77,29
1374,-76,77,29
1375,-76,77,29
1376,-76,76,28
1377,-76,76,28
1378,-76,76,28
1379,-76,76,28
1380,-76,75,29
1381,-76,75,29
1382,-76,75,29
1383,-76,75,29
1384,-75,75,30
1385,-75,75,30
1386,-75,75,30
1387,-75,75,30
1388,-74,74,31
1389,-74,74,31
1390,-74,74,31
1391,-74,74,31
1392,-75,74,30
1393,-75,74,30
1394,-75,74,30
1395,-75,74,30
1396,-75,74,30
1397,-75,74,30
1398,-75,74,30
1399,-75,74,30
1400,-75,74,30
1401,-75,74,30
1402,-75,74,30
1403,-75,74,30
1404,-74,76,27
1405,-74,76,27
1406,-74,76,27
1407,-74,76,27
1408,-77,76,26
1409,-77,76,26
1410,-77,76,26
1411,-77,76,26
1412,-77,77,27
1413,-77,77,27
1414,-77,77,27
1415,-77,77,27
1416,-77,77,28
1417,-77,77,28
1418,-77,77,28
1419,-77,77,28
1420,-79,75,27
1421,-79,75,27
1422,-79,75,27
1423,-79,75,27
1424,-78,75,28
1425,-78,75,28
1426,-78,75,28
1427,-78,75,28
1428,-77,76,29
1429,-77,76,29
1430,-77,76,29
1431,-77,76,29
1432,-76,75,30
1433,-76,75,30
1434,-76,75,30
1435,-76,75,30
1436,-75,74,31
1437,-75,74,31
1438,-75,74,31
1439,-75,74,31
1440,-77,74,29
1441,-77,74,29
1442,-77,74,29
1443,-77,74,29
1444,-78,73,28
1445,-78,73,28
1446,-78,73,28
1447,-78,73,28
1448,-77,73,29
1449,-77,73,29
1450,-77,73,29
1451,-77,73,29
1452,-79,72,29
1453,-79,72,29
1454,-79,72,29
1455,-79,72,29
1456,-80,71,28
1457,-80,71,28
1458,-80,71,28
1459,-80,71,28
1460,-77,71,29
1461,-77,71,29
1462,-77,71,29
1463,-77,71,29
1464,-79,73,31
1465,-79,73,31
1466,-79,73,31
1467,-79,73,31
1468,-78,72,31
1469,-78,72,31
1470,-78,72,31
1471,-78,72,31
1472,-78,72,30
1473,-78,72,30
1474,-78,72,30
1475,-78,72,30
1476,-76,72,30
1477,-76,72,30
1478,-76,72,30
1479,-76,72,30
1480,-75,71,30
1481,-75,71,30
1482,-75,71,30
1483,-75,71,30
1484,-74,71,31
1485,-74,71,31
1486,-74,71,31
1487,-74,71,31
1488,-73,70,30
1489,-73,70,30
1490,-73,70,30
1491,-73,70,30
1492,-73,70,30
1493,-73,70,30
1494,-73,70,30
1495,-73,70,30
1496,-74,70,29
1497,-74,70,29
1498,-74,70,29
1499,-74,70,29
1500,-73,69,30
1501,-73,69,30
1502,-73,69,30
1503,-73,69,30
1504,-73,70,31
1505,-73,70,31
1506,-73,70,31
1507,-73,70,31
1508,-73,69,31
1509,-73,69,31
1510,-73,69,31
1511,-73,69,31
1512,-72,68,30
1513,-72,68,30
1514,-72,68,30
1515,-72,68,30
1516,-73,66,30
1517,-73,66,30
1518,-73,66,30
1519,-73,66,30
1520,-72,64,29
1521,-72,64,29
1522,-72,64,29
1523,-72,64,29
1524,-72,62,28
1525,-72,62,28
1526,-72,62,28
1527,-72,62,28
1528,-75,61,27
1529,-75,61,27
1530,-75,61,27
1531,-75,61,27
1532,-73,60,29
1533,-73,60,29
1534,-73,60,29
1535,-73,60,29
1536,-74,60,29
1537,-74,60,29
1538,-74,60,29
1539,-74,60,29
1540,-73,59,30
1541,-73,59,30
1542,-73,59,30
1543,-73,59,30
1544,-73,58,30
1545,-73,58,30
1546,-73,58,30
1547,-73,58,30
1548,-75,56,29
1549,-75,56,29
1550,-75,56,29
1551,-75,56,29
1552,-71,56,30
1553,-71,56,30
1554,-71,56,30
1555,-71,56,30
1556,-72,55,30
1557,-72,55,30
1558,-72,55,30
1559,-72,55,30
1560,-67,53,31
1561,-67,53,31
1562,-67,53,31
1563,-67,53,31
1564,-68,51,30
1565,-68,51,30
1566,-68,51,30
1567,-68,51,30
1568,-68,50,28
1569,-68,50,28
